state;value;text;school
RS;14391;Under Control;Marista Pio XII
RS;16041;Bahtech;Escola Sesi de Ensino Médio Albino Marques Gomes
PB;16043;Robossauros;Escola José de Paiva Gadelha
RO;16046;ELEV3R TECH;Centro Educacional Isolina Ruttmann
AL;16049;FTCAMB;Escola SESI de Educação Básica Industrial Abelardo Lopes
AM;16050;Team ProdiXy;Escola SESI Dra. Êmina Barbosa Mustafa
AP;16051;Marco Zero Enterprises;Escola Visconde de Mauá - SESI-AP
BA;16052;HYDRA;Escola SESI Djalma Pessoa
CE;16053;TechGears;Escola SESI Euzébio Mota de Alencar
GO;16054;GEARTECH CANAÃ;ESCOLA SESI CANNÃ
MG;16055;Starbots;SESI SENAI Betim CETEM Maria Madalena Nogueira
PE;16058;Rev Atom;SESI Ibura - Unidade Roberto Egydio de Azevedo
RN;16060;SESI TATUTEC;SESI Escola CAT Mossoró
RS;16062;TchêStorm;Escola Sesi de Ensino Médio Arthur Aluízio Daud
SC;16063;Beta;SESI SENAI Joinville
RS;16786;Cavalo Vendado;Marista Medianeira
GO;17728;BrainMachine;SESI SENAI Catalão
MG;17729;TECH BROS;CISS José Bento Nogueira Junqueira
MS;17730;Tera Robotic´s;Escola SESI Três Lagoas
PB;17731;LEGONAUTAS;Escola Dionísio Marques de Almeida
PR;17733;Iron Monkeys;Colégio Sesi Cambé
PR;17736;Gears-Tet;Colégio Sesi Rio Negro
RJ;17739;Alpha Technology;Firjan SESI/SENAI Jacarepaguá
RN;17741;SESI Fortiguaras;SESI Escola Natal
RN;17742;SESI TeCCactus;SESI Escola São Gonçalo do amarante
MG;17792;Big Mountain;Robótica DHEL
PE;17799;RAGNAROK;SESI Petrolina - Governador Nilo de Souza Coelho
BA;17801;SEVEN XMACHINE;Escola SESI Reitor Miguel Calmon
PR;17838;Krizium;Colégio SESI
PE;17839;KYROS;SESI Araripina - Luiz Gonzaga Duarte
PE;17893;Ogel'yx;Dr Antônio Dourado Neto - SESI CABO
PR;18066;BENDERMINDS;COLÉGIO SESI DOIS VIZINHOS
